Complexity,Loss,Equation
1,0.5516938,"4.326011"
2,0.54590595,"log(x0)"
4,0.545812,"log(x0 + -0.7477392)"
5,0.5449682,"log(x0 - cos(x0))"
6,0.544214,"log(x0 + log(cos2(x0)))"
7,0.53664255,"log(tan(x0 / -0.2817702) + x0)"
8,0.53609324,"log(x0 + inv(cos2(x0) + -0.6243594))"
9,0.5348005,"log((tan(x0 / 0.2817749) * -1.6156764) + x0)"
10,0.5347933,"log((tan(x0 / 0.2817749) * tan(2.121697)) + x0)"
