Complexity,Loss,Equation
1,1.1805102,"3.8959954"
4,1.179409,"exp(x0 ^ 0.070873156)"
5,1.1793611,"(-35.979954 / x0) - -4.367484"
6,1.1785252,"(tan(x0) * 0.0039669927) + 3.8868644"
7,1.176614,"(tan(cube(x0)) * 0.016599935) + 3.8726661"
8,1.1708905,"(tan(tan(square(x0))) * -0.03308065) + 3.9104111"
9,1.1708826,"tanh(tan(tan(square(x0))) * -0.03375718) + 3.9102902"
10,1.1699226,"(tan(tan(square(x0) + -0.0012104084)) * -0.040029503) + 3.9050527"
