model,logL,AIC,BIC,df_resid,n_params,LR_vs_prev,d_df,p_LR
M0,-2390.0628,4786.1257,4803.7794,2655,2,,,
M1,-2356.5209,4729.0418,4776.1184,2650,7,67.0839,5.0000,0.0000
M2,-2349.2249,4722.4498,4793.0647,2646,11,14.5920,4.0000,0.0056
