Complexity,Loss,Equation
1,0.9307355,"4.156314"
4,0.930087,"sqrt(log(quart(x0)))"
5,0.9299509,"3.7693849 - (x0 * -0.0050489455)"
6,0.92991537,"5.1308756 - sin(x0 * 0.02306056)"
7,0.92991215,"abs(sin(x0 * 0.023063824) + -5.1284437)"
8,0.9297151,"sqrt(log(quart(x0 + log(cos2(x0)))))"
9,0.9293872,"sqrt(log(quart(tan(x0 * 1.3533758) + x0)))"
