Complexity,Loss,Equation
1,0.85376513,"3.8648071"
3,0.8352925,"x0 ^ 0.31170818"
4,0.83153856,"sqrt(x0) * 0.4414384"
5,0.83142555,"(x0 * 0.026884899) - -1.8009905"
6,0.83139956,"(square(x0) * 0.0001751381) - -2.8273325"
7,0.83139104,"sqrt((cos2(x0) + x0) * 0.19377086)"
8,0.83005905,"sqrt((x0 + sin(square(x0))) * 0.19505689)"
9,0.8262535,"sqrt((x0 * 0.19285524) + sin(x0 / 0.22835082))"
10,0.82606107,"sqrt((0.19285569 * x0) + sin(sin(x0 / 0.22835022)))"
