Complexity,Loss,Equation
1,1.1532015,"3.893097"
3,1.1485239,"x0 ^ 0.31329605"
4,1.1482608,"log(x0) + -0.44411993"
5,1.1481063,"(x0 * 0.012861705) + 2.9067388"
6,1.147559,"(cos(x0) + x0) ^ 0.3132291"
7,1.1456556,"(log(cos2(x0)) + x0) ^ 0.31484354"
8,1.140384,"(x0 - tan(x0 * 0.4890122)) ^ 0.31366038"
9,1.1388153,"(x0 - inv(0.3356038 - cos2(x0))) ^ 0.31265494"
10,1.1387843,"(x0 - inv(0.32684588 - sin(cos2(x0)))) ^ 0.3124979"
