Complexity,Loss,Equation
1,0.6149998,"4.4000015"
4,0.56912386,"4.840221 - cos2(x0)"
5,0.55476785,"cos2(cos(x0)) + 3.7437475"
6,0.33667272,"cos2(x0 * -5.370701) + 3.8916256"
7,0.27982473,"cos2(cube(x0 + -10.038006)) + 3.8885648"
8,0.16131487,"cos(tan(cube(x0 + 1.2824094))) + 3.9689667"
9,0.16131286,"cos(tan(cube(1.2824094 + x0))) + abs(-3.968125)"
10,0.1419014,"cos(tan(cube(x0 + 1.2824094)) * 0.9645376) + 3.9691162"
