Complexity,Loss,Equation
1,0.71111095,"4.0832615"
3,0.7081581,"x0 ^ 0.3242977"
4,0.70710415,"log(x0) ^ 0.9589758"
5,0.70706755,"(x0 * 0.011444409) + 3.2062361"
6,0.70700854,"(cube(x0) * 6.472437e-7) + 3.7873633"
7,0.7066124,"log((x0 ^ 0.9419128) + sin(x0))"
8,0.7034617,"(x0 + (0.3487158 / cos(x0))) ^ 0.32532537"
9,0.7021302,"log((tan(x0 + 0.06602761) + x0) ^ 0.94467336)"
