Complexity,Loss,Equation
1,1.0431021,"3.8830266"
3,1.0425192,"x0 ^ 0.31257212"
4,1.0409874,"log(x0) ^ 0.924407"
5,1.040666,"(-52.378857 / x0) - -4.5689793"
6,1.0380161,"sin(x0 * -0.05954539) + 2.9445283"
7,1.0376463,"(cos2(cube(x0)) * -0.19357222) + 3.9934177"
8,1.030292,"(0.15008898 * sin(x0 * -4.17681)) + 3.892992"
9,1.0300556,"(tanh(sin(x0 * -4.1762877)) * 0.18755265) + 3.8858"
10,1.0278344,"(sin(x0 * -4.1775784) * cos2(log(x0))) + 3.9039404"
