Complexity,Loss,Equation
1,0.93061024,"3.7908914"
3,0.89616275,"x0 * 0.049389392"
4,0.8944769,"sqrt(x0 * 0.1879823)"
5,0.8905365,"(-209.70758 / x0) + 6.54144"
6,0.8905263,"(-51.74703 / log(x0)) + 15.726994"
8,0.8875871,"sqrt((x0 * 0.1859366) - cos(square(x0)))"
10,0.8864854,"sqrt((x0 * 0.29522735) - cos(square(x0))) + -0.97861624"
