class_index,trust_value,precision,recall,f1,support
0,1.0000,0.0317,0.6667,0.0606,3
1,2.0000,0.0000,0.0000,0.0000,22
2,3.0000,0.4722,0.2267,0.3063,75
3,4.0000,0.3119,0.5574,0.4000,61
4,5.0000,0.4918,0.2703,0.3488,111
