Complexity,Loss,Equation
1,1.2031459,"3.8930564"
4,1.2015458,"exp(x0 ^ 0.0707789)"
5,1.2012553,"(x0 * 0.0078462) + 3.2916486"
6,1.201173,"(4.4774225e-7 * cube(x0)) + 3.6883461"
7,1.1999773,"exp((tan(x0) + x0) ^ 0.07043248)"
8,1.1970696,"3.9132638 - (0.008749692 / cos(x0 - 0.23559736))"
9,1.1963502,"exp((x0 + tan(x0 / 0.7485159)) ^ 0.07188662)"
