Complexity,Loss,Equation
1,0.9175763,"4.1956844"
4,0.91753894,"4.208467 - inv(x0)"
5,0.9171612,"(x0 * 0.00366551) + 3.9143655"
6,0.917161,"(square(x0) * 2.3969487e-5) + 4.053702"
7,0.9171588,"(cos2(sqrt(x0)) * 0.07418788) + 4.151652"
8,0.9167237,"(cos2(x0 * 4.109627) * -0.06711066) + 4.2285113"
9,0.9165181,"(cos2(quart(x0 * 0.2285064)) * 0.08801571) + 4.155696"
10,0.9164479,"4.155696 + (0.10104781 * square(cos2(quart(x0 * 0.2285064))))"
