Complexity,Loss,Equation
1,0.93061024,"3.7908914"
3,0.8961628,"x0 / 20.24716"
4,0.8944769,"sqrt(x0 * 0.1879823)"
5,0.8905365,"(-209.76407 / x0) + 6.542173"
6,0.8905268,"(-48.12256 / sqrt(x0)) + 9.298682"
8,0.887587,"sqrt((x0 * 0.18592404) - cos(square(x0)))"
10,0.88648576,"sqrt((x0 * 0.2983984) - cos(square(x0))) + -1.0039239"
