Complexity,Loss,Equation
1,0.8863504,"4.055856"
3,0.86601955,"x0 ^ 0.32272768"
4,0.86256975,"sqrt(x0 * 0.21429)"
5,0.8622574,"(x0 * 0.027677381) + 1.9283764"
6,0.8602655,"cos(x0 / -20.485304) - -4.8447285"
7,0.84101784,"cos(cos2(x0 / 0.67312133)) - -3.271556"
8,0.83186096,"cos(cos2(cube(x0 + -0.44658056))) - -3.2690463"
10,0.8290893,"sqrt(0.22096744 * (x0 - tan(tan(x0 / -1.599411))))"
