Complexity,Loss,Equation
1,0.9307355,"4.156314"
4,0.930014,"exp(x0 ^ 0.081592314)"
5,0.9299509,"(x0 * 0.0050427914) + 3.76981"
6,0.929928,"(cube(x0) * 2.8907104e-7) + 4.024132"
7,0.9299269,"tan(cube(x0) * 2.8423062e-7) + 4.025325"
8,0.9297151,"sqrt(log(quart(log(cos2(x0)) + x0)))"
9,0.92942107,"sqrt(log(quart(tan(x0 * -0.29529843) - x0)))"
10,0.9293905,"sqrt(log(quart(tan(tan(x0 * 6.2099075)) - x0)))"
